city,latitude,longitude,date,weather_code,temperature_max,temperature_min,precipitation_sum,precipitation_probability,wind_speed_max,wind_gusts_max,temperature_category,precipitation_category,wind_category,risk_score,risk_level
Ait Ourir,31.5644,-7.6628,2026-09-15,3,35.4,24.7,0.0,3,17.0,31.3,Extreme Heat,No Rain,Moderate,17.215,Very Low
Ait Ourir,31.5644,-7.6628,2026-09-16,1,32.7,19.9,0.0,0,14.9,28.1,Hot,No Rain,Moderate,5.5,Very Low
Oulad Tayeb,33.9598,-4.9954,2026-09-15,2,34.2,23.6,0.0,0,16.9,32.8,Hot,No Rain,Moderate,10.9,Very Low
Oulad Tayeb,33.9598,-4.9954,2026-09-16,1,30.9,21.0,0.0,0,16.7,31.7,Hot,No Rain,Moderate,10.9,Very Low
Tit Mellil,33.5533,-7.4822,2026-09-15,45,29.9,21.5,0.0,0,13.0,34.2,Normal,No Rain,Moderate,11.4,Very Low
Tit Mellil,33.5533,-7.4822,2026-09-16,45,26.3,20.2,0.0,0,14.9,38.2,Normal,No Rain,Moderate,11.4,Very Low
Sidi Bennour,32.655,-8.4292,2026-09-15,3,37.2,21.1,0.0,3,26.1,45.4,Extreme Heat,No Rain,Moderate,20.815,Low
Sidi Bennour,32.655,-8.4292,2026-09-16,2,30.2,18.5,0.0,0,22.7,39.2,Hot,No Rain,Moderate,14.5,Very Low
Temsia,30.3633,-9.4144,2026-09-15,3,38.9,26.1,0.0,3,19.1,40.7,Extreme Heat,No Rain,Moderate,17.215,Very Low
Temsia,30.3633,-9.4144,2026-09-16,2,31.9,22.3,0.0,0,17.1,37.4,Hot,No Rain,Moderate,10.9,Very Low
Biougra,30.2144,-9.3708,2026-09-15,2,38.6,26.6,0.0,3,22.9,40.3,Extreme Heat,No Rain,Moderate,20.815,Low
Biougra,30.2144,-9.3708,2026-09-16,1,33.7,23.1,0.0,0,29.4,49.0,Hot,No Rain,Moderate,14.5,Very Low
Al Hoceïma,35.2472,-3.9322,2026-09-15,45,26.4,20.2,0.0,0,11.3,20.2,Normal,No Rain,Low,6.0,Very Low
